session_id,timestamp_iso,ms_elapsed,event_type,step,condition,target_product_id,clicked_element,click_x,click_y,time_to_first_click_ms,is_unintended_interaction,question_id,question_text,answer_value,is_validation_question,validation_passed,completed
S-2026-7477,2026-05-16T20:02:22.258Z,87874921,page_enter,8,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:39.265Z,0,session_start,0,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:40.132Z,867,page_enter,1,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:40.211Z,946,task_start,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:40.211Z,946,page_enter,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:41.101Z,1836,page_exit,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:41.140Z,1875,page_enter,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:41.143Z,1878,product_view,1,standard,1,"Water Bottle",,,,,,,,,,
S-2026-7662,2026-05-16T20:02:42.006Z,2741,button_click,1,standard,1,add_to_cart,879,626,874,,,,,,,
S-2026-7662,2026-05-16T20:02:43.259Z,3994,page_exit,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:43.332Z,4067,page_enter,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:44.017Z,4752,page_exit,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:44.074Z,4809,product_view,1,standard,1,"Wireless Earbuds Pro",,,,,,,,,,
S-2026-7662,2026-05-16T20:02:44.081Z,4817,page_enter,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:44.807Z,5543,button_click,1,standard,1,add_to_cart,944,616,767,0,,,,,,
S-2026-7662,2026-05-16T20:02:44.817Z,5552,task_complete,1,standard,1,add_to_cart,944,616,767,0,,,,,,1
S-2026-7662,2026-05-16T20:02:44.824Z,5559,page_exit,1,standard,1,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:45.536Z,6271,page_enter,2,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:45.600Z,6336,task_start,2,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:45.602Z,6337,page_enter,2,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:46.466Z,7201,distraction_click,2,,,"Water Bottle",598,503,,,,,,,,
S-2026-7662,2026-05-16T20:02:46.467Z,7203,page_exit,2,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:47.115Z,7851,page_enter,3,,,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:47.142Z,7877,task_start,3,standard,2,,,,,,,,,,,
S-2026-7662,2026-05-16T20:02:47.142Z,7878,page_enter,3,standard,2,,,,,,,,,,,
